"","n","alpha","maxdepth_factor_screen","maxdepth_factor_select","MSE","Fuzzy","model"
"239",200,0.3,0.2,0.7,41.2746775169244,TRUE,"Longtree"
"240",200,0.3,0.2,0.7,41.7152078857412,FALSE,"Longtree"
"241",300,0.01,0.02,0.3,404.457757629842,TRUE,"Longtree"
"242",300,0.01,0.02,0.3,129.073199725351,FALSE,"Longtree"
"243",300,0.01,0.02,0.5,404.457757629842,TRUE,"Longtree"
"244",300,0.01,0.02,0.5,129.073199725351,FALSE,"Longtree"
"245",300,0.01,0.02,0.7,59.9602089930167,TRUE,"Longtree"
"246",300,0.01,0.02,0.7,37.7517804687755,FALSE,"Longtree"
"247",300,0.01,0.04,0.3,59.9602089930167,TRUE,"Longtree"
"248",300,0.01,0.04,0.3,124.801550399978,FALSE,"Longtree"
"249",300,0.01,0.04,0.5,32.3211935325792,TRUE,"Longtree"
"250",300,0.01,0.04,0.5,36.6301767603527,FALSE,"Longtree"
"251",300,0.01,0.04,0.7,32.240784652494,TRUE,"Longtree"
"252",300,0.01,0.04,0.7,31.999689259771,FALSE,"Longtree"
"253",300,0.01,0.08,0.3,59.9602089930167,TRUE,"Longtree"
"254",300,0.01,0.08,0.3,124.801550399978,FALSE,"Longtree"
"255",300,0.01,0.08,0.5,32.3211935325792,TRUE,"Longtree"
"256",300,0.01,0.08,0.5,36.6301767603527,FALSE,"Longtree"
"257",300,0.01,0.08,0.7,32.240784652494,TRUE,"Longtree"
"258",300,0.01,0.08,0.7,31.999689259771,FALSE,"Longtree"
"259",300,0.01,0.2,0.3,59.9602089930167,TRUE,"Longtree"
"260",300,0.01,0.2,0.3,124.801550399978,FALSE,"Longtree"
"261",300,0.01,0.2,0.5,32.3211935325792,TRUE,"Longtree"
"262",300,0.01,0.2,0.5,36.6301767603527,FALSE,"Longtree"
"263",300,0.01,0.2,0.7,32.240784652494,TRUE,"Longtree"
"264",300,0.01,0.2,0.7,31.999689259771,FALSE,"Longtree"
"265",300,0.05,0.02,0.3,404.457757629842,TRUE,"Longtree"
"266",300,0.05,0.02,0.3,129.073199725351,FALSE,"Longtree"
"267",300,0.05,0.02,0.5,59.9602089930167,TRUE,"Longtree"
"268",300,0.05,0.02,0.5,129.073199725351,FALSE,"Longtree"
"269",300,0.05,0.02,0.7,35.9442143255344,TRUE,"Longtree"
"270",300,0.05,0.02,0.7,35.9442143255344,FALSE,"Longtree"
"271",300,0.05,0.04,0.3,32.3211935325792,TRUE,"Longtree"
"272",300,0.05,0.04,0.3,36.7602464988304,FALSE,"Longtree"
"273",300,0.05,0.04,0.5,31.4497206212252,TRUE,"Longtree"
"274",300,0.05,0.04,0.5,31.3201519629866,FALSE,"Longtree"
"275",300,0.05,0.04,0.7,31.4497206212252,TRUE,"Longtree"
"276",300,0.05,0.04,0.7,31.3201519629866,FALSE,"Longtree"
"277",300,0.05,0.08,0.3,32.3211935325792,TRUE,"Longtree"
"278",300,0.05,0.08,0.3,36.7602464988304,FALSE,"Longtree"
"279",300,0.05,0.08,0.5,31.4497206212252,TRUE,"Longtree"
"280",300,0.05,0.08,0.5,31.3201519629866,FALSE,"Longtree"
"281",300,0.05,0.08,0.7,31.4497206212252,TRUE,"Longtree"
"282",300,0.05,0.08,0.7,31.3201519629866,FALSE,"Longtree"
"283",300,0.05,0.2,0.3,32.3211935325792,TRUE,"Longtree"
"284",300,0.05,0.2,0.3,36.7602464988304,FALSE,"Longtree"
"285",300,0.05,0.2,0.5,31.4497206212252,TRUE,"Longtree"
"286",300,0.05,0.2,0.5,31.3201519629866,FALSE,"Longtree"
"287",300,0.05,0.2,0.7,31.4497206212252,TRUE,"Longtree"
"288",300,0.05,0.2,0.7,31.3201519629866,FALSE,"Longtree"
"289",300,0.1,0.02,0.3,404.457757629842,TRUE,"Longtree"
"290",300,0.1,0.02,0.3,129.073199725351,FALSE,"Longtree"
"291",300,0.1,0.02,0.5,59.9602089930167,TRUE,"Longtree"
"292",300,0.1,0.02,0.5,129.073199725351,FALSE,"Longtree"
"293",300,0.1,0.02,0.7,35.9442143255344,TRUE,"Longtree"
"294",300,0.1,0.02,0.7,35.9442143255344,FALSE,"Longtree"
"295",300,0.1,0.04,0.3,32.3211935325792,TRUE,"Longtree"
"296",300,0.1,0.04,0.3,36.7602464988304,FALSE,"Longtree"
"297",300,0.1,0.04,0.5,31.4497206212252,TRUE,"Longtree"
"298",300,0.1,0.04,0.5,31.3201519629866,FALSE,"Longtree"
"299",300,0.1,0.04,0.7,31.4497206212252,TRUE,"Longtree"
"300",300,0.1,0.04,0.7,30.4975035484865,FALSE,"Longtree"
"301",300,0.1,0.08,0.3,32.3211935325792,TRUE,"Longtree"
"302",300,0.1,0.08,0.3,36.7602464988304,FALSE,"Longtree"
"303",300,0.1,0.08,0.5,31.4497206212252,TRUE,"Longtree"
"304",300,0.1,0.08,0.5,31.6868479877077,FALSE,"Longtree"
"305",300,0.1,0.08,0.7,31.4497206212252,TRUE,"Longtree"
"306",300,0.1,0.08,0.7,30.4975035484865,FALSE,"Longtree"
"307",300,0.1,0.2,0.3,32.3211935325792,TRUE,"Longtree"
"308",300,0.1,0.2,0.3,36.7602464988304,FALSE,"Longtree"
"309",300,0.1,0.2,0.5,31.4497206212252,TRUE,"Longtree"
"310",300,0.1,0.2,0.5,31.6868479877077,FALSE,"Longtree"
"311",300,0.1,0.2,0.7,31.4497206212252,TRUE,"Longtree"
"312",300,0.1,0.2,0.7,30.4975035484865,FALSE,"Longtree"
"313",300,0.2,0.02,0.3,404.457757629842,TRUE,"Longtree"
"314",300,0.2,0.02,0.3,129.073199725351,FALSE,"Longtree"
"315",300,0.2,0.02,0.5,59.9602089930167,TRUE,"Longtree"
"316",300,0.2,0.02,0.5,129.073199725351,FALSE,"Longtree"
"317",300,0.2,0.02,0.7,35.9442143255344,TRUE,"Longtree"
"318",300,0.2,0.02,0.7,35.9442143255344,FALSE,"Longtree"
"319",300,0.2,0.04,0.3,31.7699323614425,TRUE,"Longtree"
"320",300,0.2,0.04,0.3,35.2944637243929,FALSE,"Longtree"
"321",300,0.2,0.04,0.5,16.7342650201316,TRUE,"Longtree"
"322",300,0.2,0.04,0.5,31.142992887739,FALSE,"Longtree"
"323",300,0.2,0.04,0.7,16.7342650201316,TRUE,"Longtree"
